"","Survived","Pclass","Sex","Age","SibSp","Parch","Fare","Embarked"
"1",1,3,2,22,1,0,7,3
"2",2,1,1,38,1,0,71,1
"3",2,3,1,26,0,0,7,3
"4",2,1,1,35,1,0,53,3
"5",1,3,2,35,0,0,8,3
"6",1,3,2,29,0,0,8,2
"7",1,1,2,54,0,0,51,3
"8",1,3,2,2,3,1,21,3
"9",2,3,1,27,0,2,11,3
"10",2,2,1,14,1,0,30,1
"11",2,3,1,4,1,1,16,3
"12",2,1,1,58,0,0,26,3
"13",1,3,2,20,0,0,8,3
"14",1,3,2,39,1,5,31,3
"15",1,3,1,14,0,0,7,3
"16",2,2,1,55,0,0,16,3
"17",1,3,2,2,4,1,29,2
"18",2,2,2,29,0,0,13,3
"19",1,3,1,31,1,0,18,3
"20",2,3,1,29,0,0,7,1
"21",1,2,2,35,0,0,26,3
"22",2,2,2,34,0,0,13,3
"23",2,3,1,15,0,0,8,2
"24",2,1,2,28,0,0,35,3
"25",1,3,1,8,3,1,21,3
"26",2,3,1,38,1,5,31,3
"27",1,3,2,29,0,0,7,1
"28",1,1,2,19,3,2,263,3
"29",2,3,1,29,0,0,7,2
"30",1,3,2,29,0,0,7,3
"31",1,1,2,40,0,0,27,1
"32",2,1,1,29,1,0,146,1
"33",2,3,1,29,0,0,7,2
"34",1,2,2,66,0,0,10,3
"35",1,1,2,28,1,0,82,1
"36",1,1,2,42,1,0,52,3
"37",2,3,2,29,0,0,7,1
"38",1,3,2,21,0,0,8,3
"39",1,3,1,18,2,0,18,3
"40",2,3,1,14,1,0,11,1
"41",1,3,1,40,1,0,9,3
"42",1,2,1,27,1,0,21,3
"43",1,3,2,29,0,0,7,1
"44",2,2,1,3,1,2,41,1
"45",2,3,1,19,0,0,7,2
"46",1,3,2,29,0,0,8,3
"47",1,3,2,29,1,0,15,2
"48",2,3,1,29,0,0,7,2
"49",1,3,2,29,2,0,21,1
"50",1,3,1,18,1,0,17,3
"51",1,3,2,7,4,1,39,3
"52",1,3,2,21,0,0,7,3
"53",2,1,1,49,1,0,76,1
"54",2,2,1,29,1,0,26,3
"55",1,1,2,65,0,1,61,1
"56",2,1,2,29,0,0,35,3
"57",2,2,1,21,0,0,10,3
"58",1,3,2,28,0,0,7,1
"59",2,2,1,5,1,2,27,3
"60",1,3,2,11,5,2,46,3
"61",1,3,2,22,0,0,7,1
"62",2,1,1,38,0,0,80,3
"63",1,1,2,45,1,0,83,3
"64",1,3,2,4,3,2,27,3
"65",1,1,2,29,0,0,27,1
"66",2,3,2,29,1,1,15,1
"67",2,2,1,29,0,0,10,3
"68",1,3,2,19,0,0,8,3
"69",2,3,1,17,4,2,7,3
"70",1,3,2,26,2,0,8,3
"71",1,2,2,32,0,0,10,3
"72",1,3,1,16,5,2,46,3
"73",1,2,2,21,0,0,73,3
"74",1,3,2,26,1,0,14,1
"75",2,3,2,32,0,0,56,3
"76",1,3,2,25,0,0,7,3
"77",1,3,2,29,0,0,7,3
"78",1,3,2,29,0,0,8,3
"79",2,2,2,0,0,2,29,3
"80",2,3,1,30,0,0,12,3
"81",1,3,2,22,0,0,9,3
"82",2,3,2,29,0,0,9,3
"83",2,3,1,29,0,0,7,2
"84",1,1,2,28,0,0,47,3
"85",2,2,1,17,0,0,10,3
"86",2,3,1,33,3,0,15,3
"87",1,3,2,16,1,3,34,3
"88",1,3,2,29,0,0,8,3
"89",2,1,1,23,3,2,263,3
"90",1,3,2,24,0,0,8,3
"91",1,3,2,29,0,0,8,3
"92",1,3,2,20,0,0,7,3
"93",1,1,2,46,1,0,61,3
"94",1,3,2,26,1,2,20,3
"95",1,3,2,59,0,0,7,3
"96",1,3,2,29,0,0,8,3
"97",1,1,2,71,0,0,34,1
"98",2,1,2,23,0,1,63,1
"99",2,2,1,34,0,1,23,3
"100",1,2,2,34,1,0,26,3
"101",1,3,1,28,0,0,7,3
"102",1,3,2,29,0,0,7,3
"103",1,1,2,21,0,1,77,3
"104",1,3,2,33,0,0,8,3
"105",1,3,2,37,2,0,7,3
"106",1,3,2,28,0,0,7,3
"107",2,3,1,21,0,0,7,3
"108",2,3,2,29,0,0,7,3
"109",1,3,2,38,0,0,7,3
"110",2,3,1,29,1,0,24,2
"111",1,1,2,47,0,0,52,3
"112",1,3,1,14,1,0,14,1
"113",1,3,2,22,0,0,8,3
"114",1,3,1,20,1,0,9,3
"115",1,3,1,17,0,0,14,1
"116",1,3,2,21,0,0,7,3
"117",1,3,2,70,0,0,7,2
"118",1,2,2,29,1,0,21,3
"119",1,1,2,24,0,1,247,1
